src,true_label,pred_label,count
ramp_t10_kaneishi_set-0010.txt,Ramp-ascent,Ramp-descent,169
ramp_t10_kaneishi_set-0010.txt,Level-walk,Ramp-descent,93
ramp_t10_kaneishi_set-0010.txt,Ramp-ascent,Stop,40
ramp_t10_kaneishi_set-0010.txt,Stop,Ramp-descent,35
ramp_t10_kaneishi_set-0010.txt,Stop,Ramp-ascent,24
ramp_t10_kaneishi_set-0010.txt,Stop,Level-walk,17
ramp_t10_kaneishi_set-0010.txt,Ramp-ascent,Level-walk,5
ramp_t10_kaneishi_set-0010.txt,Level-walk,Stop,3
ramp_t10_kaneishi_set-0010.txt,Level-walk,Ramp-ascent,3
ramp_t10_kanoga_set-0010.txt,Level-walk,Ramp-ascent,44
ramp_t10_kanoga_set-0010.txt,Ramp-descent,Level-walk,40
ramp_t10_kanoga_set-0010.txt,Level-walk,Ramp-descent,22
ramp_t10_kanoga_set-0010.txt,Ramp-descent,Stop,20
ramp_t10_kanoga_set-0010.txt,Ramp-ascent,Level-walk,19
ramp_t10_kanoga_set-0010.txt,Ramp-descent,Ramp-ascent,16
ramp_t10_kanoga_set-0010.txt,Stop,Level-walk,15
ramp_t10_kanoga_set-0010.txt,Ramp-ascent,Ramp-descent,10
ramp_t10_kanoga_set-0010.txt,Stop,Ramp-ascent,4
ramp_t10_kanoga_set-0010.txt,Ramp-ascent,Stop,2
ramp_t11_kaneishi_set-0011.txt,Level-walk,Ramp-ascent,106
ramp_t11_kaneishi_set-0011.txt,Level-walk,Stop,48
ramp_t11_kaneishi_set-0011.txt,Ramp-descent,Stair-descent,20
ramp_t11_kaneishi_set-0011.txt,Stop,Ramp-ascent,17
ramp_t11_kaneishi_set-0011.txt,Ramp-ascent,Level-walk,15
ramp_t11_kaneishi_set-0011.txt,Ramp-descent,Level-walk,8
ramp_t11_kaneishi_set-0011.txt,Ramp-descent,Stop,4
ramp_t11_kaneishi_set-0011.txt,Level-walk,Stair-ascent,3
ramp_t11_kaneishi_set-0011.txt,Stop,Level-walk,3
ramp_t11_kaneishi_set-0011.txt,Level-walk,Ramp-descent,1
ramp_t1_kaneishi_set-0001.txt,Ramp-ascent,Level-walk,285
ramp_t1_kaneishi_set-0001.txt,Ramp-ascent,Stop,90
ramp_t1_kaneishi_set-0001.txt,Stop,Stair-descent,44
ramp_t1_kaneishi_set-0001.txt,Stop,Level-walk,43
ramp_t1_kaneishi_set-0001.txt,Level-walk,Ramp-ascent,34
ramp_t1_kaneishi_set-0001.txt,Ramp-descent,Stair-descent,21
ramp_t1_kaneishi_set-0001.txt,Ramp-descent,Stop,18
ramp_t1_kaneishi_set-0001.txt,Level-walk,Stop,16
ramp_t1_kaneishi_set-0001.txt,Level-walk,Stair-descent,12
ramp_t1_kaneishi_set-0001.txt,Ramp-ascent,Stair-descent,11
ramp_t1_kaneishi_set-0001.txt,Level-walk,Ramp-descent,10
ramp_t1_kaneishi_set-0001.txt,Ramp-ascent,Stair-ascent,5
ramp_t1_kaneishi_set-0001.txt,Ramp-descent,Level-walk,4
ramp_t1_kaneishi_set-0001.txt,Ramp-descent,Ramp-ascent,2
ramp_t1_kanoga_set-0001.txt,Level-walk,Ramp-descent,69
ramp_t1_kanoga_set-0001.txt,Level-walk,Ramp-ascent,68
ramp_t1_kanoga_set-0001.txt,Ramp-ascent,Level-walk,54
ramp_t1_kanoga_set-0001.txt,Ramp-descent,Level-walk,34
ramp_t1_kanoga_set-0001.txt,Ramp-ascent,Stop,25
ramp_t1_kanoga_set-0001.txt,Ramp-descent,Stop,18
ramp_t1_kanoga_set-0001.txt,Stop,Level-walk,11
ramp_t1_kanoga_set-0001.txt,Level-walk,Stop,9
ramp_t1_kanoga_set-0001.txt,Ramp-descent,Stair-descent,9
ramp_t1_kanoga_set-0001.txt,Ramp-descent,Ramp-ascent,2
ramp_t1_kanoga_set-0001.txt,Stop,Ramp-ascent,1
ramp_t2_kaneishi_set-0002.txt,Ramp-ascent,Ramp-descent,200
ramp_t2_kaneishi_set-0002.txt,Level-walk,Ramp-descent,128
ramp_t2_kaneishi_set-0002.txt,Level-walk,Ramp-ascent,73
ramp_t2_kaneishi_set-0002.txt,Stop,Ramp-descent,62
ramp_t2_kaneishi_set-0002.txt,Ramp-ascent,Stop,35
ramp_t2_kaneishi_set-0002.txt,Ramp-ascent,Level-walk,16
ramp_t2_kaneishi_set-0002.txt,Stop,Level-walk,10
ramp_t2_kaneishi_set-0002.txt,Ramp-ascent,Stair-ascent,6
ramp_t2_kaneishi_set-0002.txt,Level-walk,Stair-ascent,5
ramp_t2_kanoga_set-0002.txt,Ramp-ascent,Level-walk,49
ramp_t2_kanoga_set-0002.txt,Level-walk,Ramp-ascent,44
ramp_t2_kanoga_set-0002.txt,Ramp-descent,Level-walk,40
ramp_t2_kanoga_set-0002.txt,Ramp-ascent,Stop,39
ramp_t2_kanoga_set-0002.txt,Ramp-descent,Stop,23
ramp_t2_kanoga_set-0002.txt,Level-walk,Stop,21
ramp_t2_kanoga_set-0002.txt,Level-walk,Ramp-descent,18
ramp_t2_kanoga_set-0002.txt,Ramp-ascent,Ramp-descent,14
ramp_t2_kanoga_set-0002.txt,Stop,Ramp-ascent,10
ramp_t2_kanoga_set-0002.txt,Ramp-descent,Ramp-ascent,3
ramp_t2_kanoga_set-0002.txt,Stop,Level-walk,2
ramp_t2_kanoga_set-0002.txt,Ramp-ascent,Stair-ascent,2
ramp_t2_kanoga_set-0002.txt,Ramp-descent,Stair-descent,1
ramp_t3_kaneishi_set-0003.txt,Stop,Level-walk,58
ramp_t3_kaneishi_set-0003.txt,Ramp-ascent,Stop,53
ramp_t3_kaneishi_set-0003.txt,Ramp-ascent,Level-walk,48
ramp_t3_kaneishi_set-0003.txt,Stop,Ramp-ascent,44
ramp_t3_kaneishi_set-0003.txt,Level-walk,Stair-ascent,14
ramp_t3_kaneishi_set-0003.txt,Level-walk,Ramp-ascent,11
ramp_t3_kaneishi_set-0003.txt,Level-walk,Stop,9
ramp_t3_kaneishi_set-0003.txt,Stop,Ramp-descent,7
ramp_t3_kaneishi_set-0003.txt,Ramp-descent,Ramp-ascent,7
ramp_t3_kaneishi_set-0003.txt,Ramp-descent,Stair-descent,7
ramp_t3_kaneishi_set-0003.txt,Ramp-descent,Level-walk,5
ramp_t3_kaneishi_set-0003.txt,Level-walk,Ramp-descent,4
ramp_t3_kaneishi_set-0003.txt,Level-walk,Stair-descent,2
ramp_t3_kanoga_set-0003.txt,Ramp-ascent,Level-walk,44
ramp_t3_kanoga_set-0003.txt,Ramp-descent,Level-walk,30
ramp_t3_kanoga_set-0003.txt,Ramp-descent,Stop,30
ramp_t3_kanoga_set-0003.txt,Level-walk,Ramp-ascent,27
ramp_t3_kanoga_set-0003.txt,Level-walk,Stop,25
ramp_t3_kanoga_set-0003.txt,Ramp-ascent,Ramp-descent,16
ramp_t3_kanoga_set-0003.txt,Level-walk,Ramp-descent,13
ramp_t3_kanoga_set-0003.txt,Stop,Level-walk,13
ramp_t3_kanoga_set-0003.txt,Ramp-descent,Stair-descent,10
ramp_t3_kanoga_set-0003.txt,Ramp-ascent,Stop,10
ramp_t3_kanoga_set-0003.txt,Stop,Ramp-ascent,2
ramp_t4_kaneishi_set-0004.txt,Level-walk,Ramp-ascent,106
ramp_t4_kaneishi_set-0004.txt,Level-walk,Stop,94
ramp_t4_kaneishi_set-0004.txt,Stop,Ramp-ascent,45
ramp_t4_kaneishi_set-0004.txt,Ramp-descent,Level-walk,23
ramp_t4_kaneishi_set-0004.txt,Level-walk,Ramp-descent,15
ramp_t4_kaneishi_set-0004.txt,Ramp-ascent,Stop,2
ramp_t4_kaneishi_set-0004.txt,Ramp-descent,Stair-descent,2
ramp_t4_kaneishi_set-0004.txt,Level-walk,Stair-ascent,2
ramp_t4_kanoga_set-0004.txt,Ramp-ascent,Level-walk,46
ramp_t4_kanoga_set-0004.txt,Level-walk,Stop,45
ramp_t4_kanoga_set-0004.txt,Ramp-descent,Level-walk,40
ramp_t4_kanoga_set-0004.txt,Level-walk,Ramp-ascent,29
ramp_t4_kanoga_set-0004.txt,Ramp-ascent,Ramp-descent,24
ramp_t4_kanoga_set-0004.txt,Ramp-ascent,Stop,19
ramp_t4_kanoga_set-0004.txt,Level-walk,Ramp-descent,13
ramp_t4_kanoga_set-0004.txt,Ramp-descent,Ramp-ascent,5
ramp_t4_kanoga_set-0004.txt,Stop,Level-walk,1
ramp_t5_kaneishi_set-0005.txt,Level-walk,Ramp-ascent,158
ramp_t5_kaneishi_set-0005.txt,Level-walk,Stop,45
ramp_t5_kaneishi_set-0005.txt,Ramp-descent,Stair-descent,26
ramp_t5_kaneishi_set-0005.txt,Stop,Ramp-ascent,17
ramp_t5_kaneishi_set-0005.txt,Ramp-ascent,Stop,15
ramp_t5_kaneishi_set-0005.txt,Ramp-descent,Stop,13
ramp_t5_kaneishi_set-0005.txt,Ramp-ascent,Level-walk,10
ramp_t5_kaneishi_set-0005.txt,Level-walk,Stair-ascent,7
ramp_t5_kaneishi_set-0005.txt,Ramp-descent,Level-walk,6
ramp_t5_kaneishi_set-0005.txt,Level-walk,Stair-descent,2
ramp_t5_kaneishi_set-0005.txt,Ramp-ascent,Stair-ascent,1
ramp_t5_kanoga_set-0005.txt,Ramp-ascent,Level-walk,66
ramp_t5_kanoga_set-0005.txt,Level-walk,Ramp-ascent,53
ramp_t5_kanoga_set-0005.txt,Ramp-descent,Level-walk,47
ramp_t5_kanoga_set-0005.txt,Level-walk,Ramp-descent,34
ramp_t5_kanoga_set-0005.txt,Ramp-descent,Stop,24
ramp_t5_kanoga_set-0005.txt,Ramp-descent,Ramp-ascent,10
ramp_t5_kanoga_set-0005.txt,Ramp-ascent,Ramp-descent,8
ramp_t5_kanoga_set-0005.txt,Level-walk,Stop,3
ramp_t5_kanoga_set-0005.txt,Stop,Level-walk,2
ramp_t5_kanoga_set-0005.txt,Stop,Ramp-ascent,1
ramp_t5_kanoga_set-0005.txt,Ramp-ascent,Stop,1
ramp_t6_kaneishi_set-0006.txt,Ramp-ascent,Level-walk,446
ramp_t6_kaneishi_set-0006.txt,Ramp-descent,Ramp-ascent,278
ramp_t6_kaneishi_set-0006.txt,Ramp-descent,Level-walk,187
ramp_t6_kaneishi_set-0006.txt,Level-walk,Ramp-descent,110
ramp_t6_kaneishi_set-0006.txt,Stop,Level-walk,94
ramp_t6_kaneishi_set-0006.txt,Ramp-descent,Stop,79
ramp_t6_kaneishi_set-0006.txt,Level-walk,Stop,8
ramp_t6_kaneishi_set-0006.txt,Stop,Ramp-descent,6
ramp_t6_kaneishi_set-0006.txt,Level-walk,Stair-descent,4
ramp_t6_kanoga_set-0006.txt,Level-walk,Ramp-descent,54
ramp_t6_kanoga_set-0006.txt,Level-walk,Ramp-ascent,50
ramp_t6_kanoga_set-0006.txt,Ramp-ascent,Level-walk,24
ramp_t6_kanoga_set-0006.txt,Ramp-descent,Stop,20
ramp_t6_kanoga_set-0006.txt,Level-walk,Stop,17
ramp_t6_kanoga_set-0006.txt,Ramp-ascent,Ramp-descent,12
ramp_t6_kanoga_set-0006.txt,Ramp-ascent,Stop,4
ramp_t6_kanoga_set-0006.txt,Ramp-descent,Level-walk,4
ramp_t6_kanoga_set-0006.txt,Stop,Ramp-descent,3
ramp_t7_kaneishi_set-0007.txt,Ramp-ascent,Level-walk,209
ramp_t7_kaneishi_set-0007.txt,Stop,Level-walk,92
ramp_t7_kaneishi_set-0007.txt,Ramp-ascent,Stop,92
ramp_t7_kaneishi_set-0007.txt,Level-walk,Ramp-ascent,81
ramp_t7_kaneishi_set-0007.txt,Level-walk,Stop,29
ramp_t7_kaneishi_set-0007.txt,Ramp-descent,Stair-descent,14
ramp_t7_kaneishi_set-0007.txt,Ramp-descent,Stop,9
ramp_t7_kaneishi_set-0007.txt,Ramp-ascent,Ramp-descent,7
ramp_t7_kaneishi_set-0007.txt,Level-walk,Ramp-descent,7
ramp_t7_kaneishi_set-0007.txt,Ramp-ascent,Stair-ascent,4
ramp_t7_kaneishi_set-0007.txt,Level-walk,Stair-ascent,3
ramp_t7_kaneishi_set-0007.txt,Ramp-descent,Level-walk,2
ramp_t7_kaneishi_set-0007.txt,Ramp-descent,Stair-ascent,1
ramp_t7_kanoga_set-0007.txt,Stop,Level-walk,45
ramp_t7_kanoga_set-0007.txt,Ramp-ascent,Level-walk,38
ramp_t7_kanoga_set-0007.txt,Stop,Ramp-descent,33
ramp_t7_kanoga_set-0007.txt,Level-walk,Stop,29
ramp_t7_kanoga_set-0007.txt,Stop,Ramp-ascent,23
ramp_t7_kanoga_set-0007.txt,Level-walk,Ramp-ascent,21
ramp_t7_kanoga_set-0007.txt,Ramp-descent,Level-walk,18
ramp_t7_kanoga_set-0007.txt,Ramp-descent,Ramp-ascent,16
ramp_t7_kanoga_set-0007.txt,Level-walk,Ramp-descent,15
ramp_t7_kanoga_set-0007.txt,Ramp-ascent,Ramp-descent,3
ramp_t7_kanoga_set-0007.txt,Ramp-descent,Stop,1
ramp_t8_kaneishi_set-0008.txt,Ramp-ascent,Level-walk,109
ramp_t8_kaneishi_set-0008.txt,Stop,Level-walk,85
ramp_t8_kaneishi_set-0008.txt,Ramp-ascent,Stop,69
ramp_t8_kaneishi_set-0008.txt,Level-walk,Ramp-ascent,63
ramp_t8_kaneishi_set-0008.txt,Stop,Ramp-ascent,38
ramp_t8_kaneishi_set-0008.txt,Ramp-descent,Stop,21
ramp_t8_kaneishi_set-0008.txt,Level-walk,Ramp-descent,20
ramp_t8_kaneishi_set-0008.txt,Ramp-ascent,Stair-ascent,12
ramp_t8_kaneishi_set-0008.txt,Stop,Stair-descent,4
ramp_t8_kaneishi_set-0008.txt,Level-walk,Stop,1
ramp_t8_kaneishi_set-0008.txt,Level-walk,Stair-ascent,1
ramp_t8_kanoga_set-0008.txt,Level-walk,Stop,56
ramp_t8_kanoga_set-0008.txt,Stop,Level-walk,42
ramp_t8_kanoga_set-0008.txt,Stop,Ramp-ascent,38
ramp_t8_kanoga_set-0008.txt,Level-walk,Ramp-ascent,38
ramp_t8_kanoga_set-0008.txt,Ramp-ascent,Ramp-descent,35
ramp_t8_kanoga_set-0008.txt,Ramp-descent,Level-walk,25
ramp_t8_kanoga_set-0008.txt,Ramp-ascent,Level-walk,23
ramp_t8_kanoga_set-0008.txt,Ramp-descent,Ramp-ascent,22
ramp_t8_kanoga_set-0008.txt,Ramp-descent,Stop,17
ramp_t8_kanoga_set-0008.txt,Level-walk,Ramp-descent,15
ramp_t8_kanoga_set-0008.txt,Stop,Ramp-descent,14
ramp_t8_kanoga_set-0008.txt,Level-walk,Stair-ascent,3
ramp_t9_kaneishi_set-0009.txt,Ramp-ascent,Level-walk,213
ramp_t9_kaneishi_set-0009.txt,Stop,Level-walk,97
ramp_t9_kaneishi_set-0009.txt,Ramp-ascent,Stop,67
ramp_t9_kaneishi_set-0009.txt,Level-walk,Ramp-ascent,37
ramp_t9_kaneishi_set-0009.txt,Ramp-descent,Stair-descent,26
ramp_t9_kaneishi_set-0009.txt,Level-walk,Stair-ascent,14
ramp_t9_kaneishi_set-0009.txt,Ramp-descent,Stop,14
ramp_t9_kaneishi_set-0009.txt,Ramp-descent,Stair-ascent,3
ramp_t9_kaneishi_set-0009.txt,Level-walk,Stop,3
ramp_t9_kaneishi_set-0009.txt,Ramp-ascent,Stair-ascent,1
ramp_t9_kanoga_set-0009.txt,Stop,Level-walk,90
ramp_t9_kanoga_set-0009.txt,Level-walk,Ramp-ascent,58
ramp_t9_kanoga_set-0009.txt,Level-walk,Ramp-descent,53
ramp_t9_kanoga_set-0009.txt,Ramp-ascent,Ramp-descent,50
ramp_t9_kanoga_set-0009.txt,Ramp-descent,Ramp-ascent,23
ramp_t9_kanoga_set-0009.txt,Stop,Ramp-ascent,20
ramp_t9_kanoga_set-0009.txt,Ramp-descent,Level-walk,17
ramp_t9_kanoga_set-0009.txt,Ramp-descent,Stop,15
ramp_t9_kanoga_set-0009.txt,Ramp-ascent,Stop,15
ramp_t9_kanoga_set-0009.txt,Ramp-ascent,Level-walk,14
ramp_t9_kanoga_set-0009.txt,Level-walk,Stop,10
ramp_t9_kanoga_set-0009.txt,Stop,Ramp-descent,6
stair_t10_kanoga_set-0007.txt,Level-walk,Stair-descent,44
